Feature,Importance,Importance_Pct
Sex_Encoded,0.1846700751765185,18.47
Title_Encoded,0.1818650410936712,18.19
Fare,0.1400923639195136,14.01
Age,0.113985296638785,11.4
Pclass,0.0681110357282761,6.81
Deck_Encoded,0.0547805050239192,5.48
FamilySize,0.0456092375340416,4.56
FareBand_Encoded,0.0450359520971486,4.5
HasCabin,0.0392456987866807,3.92
AgeBand_Encoded,0.0313824687550961,3.14
Embarked_Encoded,0.0251666994053444,2.52
SibSp,0.0230771364542891,2.31
FamilyCategory_Encoded,0.021521051899296,2.15
Parch,0.0159134676931972,1.59
IsAlone,0.0095439697942221,0.95
